CNTSTUID,NatCen,PV1MATH,PV1READ,PV1SCIE,Nivel,Modalidad,Sostenimiento,W_FSTUWT
48404370,048400,284.183,229.217,272.964,1,1,1,181.5393
48404395,048400,408.451,382.081,395.004,1,1,1,246.5689
48404399,048400,347.447,387.132,371.941,1,1,1,148.0452
48404402,048400,276.023,298.11,314.677,1,1,1,197.3253
48404411,048400,423.521,400.296,381.742,1,1,1,135.3591
48404447,048400,400.335,440.969,410.239,1,1,1,158.9487
48404451,048400,368.997,397.256,408.055,1,1,1,153.9643
48404460,048400,476.184,451.89,524.31,1,1,1,99.57602
48404463,048400,445.812,449.496,453.135,1,1,1,285.2242
48404469,048400,461.183,503.746,447.817,1,1,1,170.1711
48404471,048400,337.928,350.632,324.366,1,1,1,143.8677
48404481,048400,308.665,316.905,333.49,1,1,1,153.9643
48404492,048400,293.156,359.721,315.911,1,1,1,165.7533
48404497,048400,416.388,528.726,493.817,1,1,1,205.0766
48404509,048400,384.834,388.792,421.684,1,1,1,124.7909
48404512,048400,253.978,334.689,326.811,1,1,1,143.8677
48404520,048400,473.731,483.496,438.001,1,1,1,140.2333
48404523,048400,358.379,424.939,399.71,1,1,1,135.3591
48404537,048400,478.195,458.964,459.984,1,1,1,110.5299
48404538,048400,344.572,389.425,338.748,1,1,1,157.7231
